timestamp,open,high,low,close,volume,symbol,timeframe
2024-01-02 09:30:00,17000.0,17001.35,16998.96,17000.37,119,MNQ,1m
2024-01-02 09:31:00,17000.37,17000.84,16997.19,16998.03,107,MNQ,1m
2024-01-02 09:32:00,16998.03,16998.61,16996.63,16997.65,112,MNQ,1m
2024-01-02 09:33:00,16997.65,16999.4,16996.57,16998.58,90,MNQ,1m
2024-01-02 09:34:00,16998.58,17000.04,16998.02,16999.15,111,MNQ,1m
2024-01-02 09:35:00,16999.15,17000.99,16998.39,17000.21,98,MNQ,1m
2024-01-02 09:36:00,17000.21,17000.97,16998.7,16999.39,90,MNQ,1m
2024-01-02 09:37:00,16999.39,17000.33,16998.08,16998.98,145,MNQ,1m
2024-01-02 09:38:00,16998.98,17000.81,16998.28,16999.48,132,MNQ,1m
2024-01-02 09:39:00,16999.48,17000.07,16997.92,16998.87,129,MNQ,1m
2024-01-02 09:40:00,16998.87,17000.82,16998.28,17000.23,117,MNQ,1m
2024-01-02 09:41:00,17000.23,17002.01,16999.3,17001.02,98,MNQ,1m
2024-01-02 09:42:00,17001.02,17001.85,16999.38,17000.23,118,MNQ,1m
2024-01-02 09:43:00,17000.23,17002.14,16999.26,17001.29,141,MNQ,1m
2024-01-02 09:44:00,17001.29,17002.34,17000.85,17001.38,141,MNQ,1m
2024-01-02 09:45:00,17001.38,17002.06,17000.37,17001.01,142,MNQ,1m
2024-01-02 09:46:00,17001.01,17001.59,16999.65,17000.69,110,MNQ,1m
2024-01-02 09:47:00,17000.69,17001.41,16997.84,16998.68,103,MNQ,1m
2024-01-02 09:48:00,16998.68,17000.4,16997.97,16999.4,103,MNQ,1m
2024-01-02 09:49:00,16999.4,17000.41,16998.11,16998.86,132,MNQ,1m
2024-01-02 09:50:00,16998.86,16999.43,16996.42,16997.34,102,MNQ,1m
2024-01-02 09:51:00,16997.34,16998.5,16996.65,16997.53,115,MNQ,1m
2024-01-02 09:52:00,16997.53,16998.46,16996.61,16997.73,161,MNQ,1m
2024-01-02 09:53:00,16997.73,16998.44,16996.25,16996.95,142,MNQ,1m
2024-01-02 09:54:00,16996.95,16997.64,16994.73,16995.54,145,MNQ,1m
2024-01-02 09:55:00,16995.54,16997.04,16994.57,16996.13,132,MNQ,1m
2024-01-02 09:56:00,16996.13,16996.91,16995.65,16996.03,120,MNQ,1m
2024-01-02 09:57:00,16996.03,16996.5,16993.76,16994.31,125,MNQ,1m
2024-01-02 09:58:00,16994.31,16995.51,16993.18,16994.81,137,MNQ,1m
2024-01-02 09:59:00,16994.81,16995.79,16993.83,16994.4,150,MNQ,1m
2024-01-02 10:00:00,16994.4,16995.11,16993.16,16994.17,114,MNQ,1m
2024-01-02 10:01:00,16994.17,16995.08,16991.26,16992.12,116,MNQ,1m
2024-01-02 10:02:00,16992.12,16992.93,16990.76,16991.42,139,MNQ,1m
2024-01-02 10:03:00,16991.42,16992.53,16990.22,16991.72,164,MNQ,1m
2024-01-02 10:04:00,16991.72,16992.57,16990.6,16991.45,151,MNQ,1m
2024-01-02 10:05:00,16991.45,16994.11,16990.56,16993.1,120,MNQ,1m
2024-01-02 10:06:00,16993.1,16995.52,16992.54,16994.88,126,MNQ,1m
2024-01-02 10:07:00,16994.88,16995.34,16993.47,16994.43,152,MNQ,1m
2024-01-02 10:08:00,16994.43,16994.98,16993.31,16994.19,127,MNQ,1m
2024-01-02 10:09:00,16994.19,16996.51,16992.66,16995.21,176,MNQ,1m
2024-01-02 10:10:00,16995.21,16996.0,16994.34,16995.73,129,MNQ,1m
2024-01-02 10:11:00,16995.73,16996.42,16994.13,16994.77,155,MNQ,1m
2024-01-02 10:12:00,16994.77,16995.61,16993.86,16994.62,143,MNQ,1m
2024-01-02 10:13:00,16994.62,16995.01,16992.72,16993.4,172,MNQ,1m
2024-01-02 10:14:00,16993.4,16994.23,16992.31,16993.36,167,MNQ,1m
2024-01-02 10:15:00,16993.36,16993.86,16992.22,16992.78,168,MNQ,1m
2024-01-02 10:16:00,16992.78,16993.37,16990.92,16991.93,158,MNQ,1m
2024-01-02 10:17:00,16991.93,16992.96,16989.96,16990.86,149,MNQ,1m
2024-01-02 10:18:00,16990.86,16991.5,16989.78,16990.69,182,MNQ,1m
2024-01-02 10:19:00,16990.69,16991.19,16989.68,16990.16,144,MNQ,1m
2024-01-02 10:20:00,16990.16,16991.23,16989.39,16990.39,85,MNQ,1m
